text,timestamp,compound,sentiment,date
Battery life on Apple Vision Pro sucks. 80,2025-03-02 10:30:08.399312,-0.128,Negative,2025-03-02
Apple Vision Pro is a game changer tech 84,2025-03-02 21:19:08.865349,0.25,Positive,2025-03-02
"Loving the Apple Vision Pro, so futuristic! 13",2025-03-03 02:32:04.005170,0.7345,Positive,2025-03-03
Apple Vision Pro is overpriced garbage. 71,2025-02-25 20:56:59.576957,0.25,Positive,2025-02-25
Apple Vision Pro is overpriced garbage. 69,2025-02-26 05:56:59.000093,0.25,Positive,2025-02-26
The graphics on Apple Vision Pro are insane! 31,2025-03-04 08:13:27.856453,-0.2481,Negative,2025-03-04
"Too many bugs in Apple Vision Pro, ugh. 24",2025-03-02 00:39:17.436362,-0.2023,Negative,2025-03-02
Battery life on Apple Vision Pro sucks. 36,2025-03-02 04:37:11.486036,-0.128,Negative,2025-03-02
"Just got my Apple Vision Pro today, meh. 33",2025-02-26 18:59:54.106030,0.1779,Positive,2025-02-26
"Just got my Apple Vision Pro today, meh. 54",2025-03-03 09:02:48.574812,0.1779,Positive,2025-03-03
"Too many bugs in Apple Vision Pro, ugh. 87",2025-03-04 10:11:10.221672,-0.2023,Negative,2025-03-04
"Loving the Apple Vision Pro, so futuristic! 51",2025-03-01 22:33:17.744356,0.7345,Positive,2025-03-01
The graphics on Apple Vision Pro are insane! 75,2025-02-28 23:14:03.445193,-0.2481,Negative,2025-02-28
"Wow, Apple Vision Pro blew my mind! 75",2025-03-02 04:27:59.236172,0.7263,Positive,2025-03-02
"Apple Vision Pro setup was easy, loving it. 8",2025-03-02 21:32:05.409696,0.8316,Positive,2025-03-02
"Just got my Apple Vision Pro today, meh. 20",2025-03-02 18:46:17.038343,0.1779,Positive,2025-03-02
The graphics on Apple Vision Pro are insane! 15,2025-03-01 00:00:09.705284,-0.2481,Negative,2025-03-01
"Wow, Apple Vision Pro blew my mind! 42",2025-02-27 21:07:01.061269,0.7263,Positive,2025-02-27
Apple Vision Pro is a game changer tech 76,2025-03-03 02:05:05.213685,0.25,Positive,2025-03-03
"Just got my Apple Vision Pro today, meh. 59",2025-02-28 22:27:48.213196,0.1779,Positive,2025-02-28
"Wow, Apple Vision Pro blew my mind! 56",2025-02-26 08:23:57.920941,0.7263,Positive,2025-02-26
"Not impressed with Apple Vision Pro, feels clunky. 23",2025-02-26 10:01:31.180586,-0.1416,Negative,2025-02-26
Apple Vision Pro is a game changer tech 80,2025-03-04 14:49:29.186081,0.25,Positive,2025-03-04
Battery life on Apple Vision Pro sucks. 14,2025-03-04 01:12:11.908786,-0.128,Negative,2025-03-04
"Loving the Apple Vision Pro, so futuristic! 47",2025-02-28 16:49:14.839274,0.7345,Positive,2025-02-28
Apple Vision Pro is a game changer tech 33,2025-03-04 19:31:06.371692,0.25,Positive,2025-03-04
"Apple Vision Pro setup was easy, loving it. 98",2025-03-03 21:11:33.719727,0.8316,Positive,2025-03-03
The graphics on Apple Vision Pro are insane! 71,2025-02-27 16:04:38.370488,-0.2481,Negative,2025-02-27
"Not impressed with Apple Vision Pro, feels clunky. 8",2025-03-01 23:42:14.556027,-0.1416,Negative,2025-03-01
"Loving the Apple Vision Pro, so futuristic! 52",2025-03-02 18:37:14.249308,0.7345,Positive,2025-03-02
Apple Vision Pro is a game changer tech 77,2025-03-04 06:04:47.640212,0.25,Positive,2025-03-04
"Too many bugs in Apple Vision Pro, ugh. 31",2025-03-04 08:14:00.669619,-0.2023,Negative,2025-03-04
"Apple Vision Pro setup was easy, loving it. 24",2025-03-01 00:57:56.933787,0.8316,Positive,2025-03-01
Battery life on Apple Vision Pro sucks. 37,2025-03-04 15:14:54.433584,-0.128,Negative,2025-03-04
Apple Vision Pro is overpriced garbage. 45,2025-02-25 20:18:29.450326,0.25,Positive,2025-02-25
"Wow, Apple Vision Pro blew my mind! 9",2025-03-04 15:07:08.708090,0.7263,Positive,2025-03-04
The graphics on Apple Vision Pro are insane! 9,2025-02-26 10:47:13.900016,-0.2481,Negative,2025-02-26
"Loving the Apple Vision Pro, so futuristic! 19",2025-02-26 06:22:54.618093,0.7345,Positive,2025-02-26
Apple Vision Pro is a game changer tech 45,2025-03-04 06:40:27.973191,0.25,Positive,2025-03-04
Apple Vision Pro is overpriced garbage. 1,2025-03-04 02:10:06.025528,0.25,Positive,2025-03-04
Battery life on Apple Vision Pro sucks. 68,2025-02-26 13:07:45.523537,-0.128,Negative,2025-02-26
"Loving the Apple Vision Pro, so futuristic! 31",2025-02-26 09:38:11.504441,0.7345,Positive,2025-02-26
Battery life on Apple Vision Pro sucks. 7,2025-03-02 03:06:17.711210,-0.128,Negative,2025-03-02
"Loving the Apple Vision Pro, so futuristic! 71",2025-02-25 20:42:01.821387,0.7345,Positive,2025-02-25
"Apple Vision Pro setup was easy, loving it. 2",2025-02-26 14:43:31.364717,0.8316,Positive,2025-02-26
Apple Vision Pro is a game changer tech 84,2025-03-03 22:43:24.717774,0.25,Positive,2025-03-03
Battery life on Apple Vision Pro sucks. 2,2025-03-03 13:44:19.683814,-0.128,Negative,2025-03-03
"Just got my Apple Vision Pro today, meh. 35",2025-02-27 22:17:33.537840,0.1779,Positive,2025-02-27
"Just got my Apple Vision Pro today, meh. 37",2025-02-28 00:14:16.090907,0.1779,Positive,2025-02-28
"Not impressed with Apple Vision Pro, feels clunky. 94",2025-02-27 04:13:03.977116,-0.1416,Negative,2025-02-27
Apple Vision Pro is overpriced garbage. 66,2025-02-27 00:32:59.809744,0.25,Positive,2025-02-27
Apple Vision Pro is a game changer tech 31,2025-03-03 01:33:02.967239,0.25,Positive,2025-03-03
"Not impressed with Apple Vision Pro, feels clunky. 62",2025-03-04 08:39:11.359900,-0.1416,Negative,2025-03-04
"Wow, Apple Vision Pro blew my mind! 21",2025-03-04 13:21:39.508763,0.7263,Positive,2025-03-04
"Just got my Apple Vision Pro today, meh. 48",2025-02-28 00:37:52.163720,0.1779,Positive,2025-02-28
"Wow, Apple Vision Pro blew my mind! 95",2025-02-28 11:35:21.982657,0.7263,Positive,2025-02-28
Apple Vision Pro is overpriced garbage. 51,2025-02-27 08:26:05.766364,0.25,Positive,2025-02-27
Battery life on Apple Vision Pro sucks. 97,2025-03-03 09:43:34.142095,-0.128,Negative,2025-03-03
